"","year","sitecode","section","reach","pass","unitnum","unittype","vert_index","pitnumber","species","length_1_mm","length_2_mm","weight_g","clip","sampledate","notes"
"29",1987,"MACKCC-L","CC","L",1,2,"C",13,NA,"Cutthroat trout",131,NA,17.65,"NONE",1987-10-07,NA
"30",1987,"MACKCC-L","CC","L",1,2,"C",14,NA,"Cutthroat trout",120,NA,13.45,"NONE",1987-10-07,NA
"31",1987,"MACKCC-L","CC","L",1,2,"C",15,NA,"Cutthroat trout",94,NA,6.65,"NONE",1987-10-07,NA
"32",1987,"MACKCC-L","CC","L",1,2,"C",16,NA,"Cutthroat trout",97,NA,7.6,"NONE",1987-10-07,NA
"33",1987,"MACKCC-L","CC","L",1,2,"C",17,NA,"Cutthroat trout",98,NA,7.65,"NONE",1987-10-07,NA
"34",1987,"MACKCC-L","CC","L",1,2,"C",18,NA,"Cutthroat trout",122,NA,14.2,"NONE",1987-10-07,NA
"35",1987,"MACKCC-L","CC","L",1,2,"C",19,NA,"Cutthroat trout",135,NA,19.7,"NONE",1987-10-07,NA
"36",1987,"MACKCC-L","CC","L",1,2,"C",20,NA,"Cutthroat trout",186,NA,49.15,"NONE",1987-10-07,NA
"37",1987,"MACKCC-L","CC","L",1,2,"C",21,NA,"Cutthroat trout",121,NA,16.15,"NONE",1987-10-07,NA
"38",1987,"MACKCC-L","CC","L",1,2,"C",22,NA,"Cutthroat trout",59,NA,2.25,"NONE",1987-10-07,NA
"39",1987,"MACKCC-L","CC","L",1,2,"C",23,NA,"Cutthroat trout",91,NA,6.9,"NONE",1987-10-07,NA
"40",1987,"MACKCC-L","CC","L",1,2,"C",24,NA,"Cutthroat trout",103,NA,9.1,"NONE",1987-10-07,NA
"41",1987,"MACKCC-L","CC","L",1,2,"C",25,NA,"Cutthroat trout",107,NA,9.3,"NONE",1987-10-07,NA
"42",1987,"MACKCC-L","CC","L",1,2,"C",26,NA,"Cutthroat trout",129,NA,17.5,"NONE",1987-10-07,NA
"43",1987,"MACKCC-L","CC","L",1,2,"C",27,NA,"Cutthroat trout",92,NA,6.1,"NONE",1987-10-07,NA
"44",1987,"MACKCC-L","CC","L",1,2,"C",28,NA,"Cutthroat trout",93,NA,8.15,"NONE",1987-10-07,NA
"45",1987,"MACKCC-L","CC","L",1,2,"C",29,NA,"Cutthroat trout",154,NA,29.5,"NONE",1987-10-07,NA
"46",1987,"MACKCC-L","CC","L",1,2,"C",30,NA,"Cutthroat trout",121,NA,13.95,"NONE",1987-10-07,NA
"47",1987,"MACKCC-L","CC","L",1,2,"C",31,NA,"Cutthroat trout",63,NA,2.35,"NONE",1987-10-07,NA
"48",1987,"MACKCC-L","CC","L",1,2,"C",32,NA,"Cutthroat trout",116,NA,12.25,"NONE",1987-10-07,NA
"49",1987,"MACKCC-L","CC","L",1,2,"C",33,NA,"Cutthroat trout",59,NA,2.35,"NONE",1987-10-07,NA
"50",1987,"MACKCC-L","CC","L",1,2,"C",34,NA,"Cutthroat trout",48,NA,1.3,"NONE",1987-10-07,NA
"51",1987,"MACKCC-L","CC","L",1,2,"C",35,NA,"Cutthroat trout",111,NA,10.55,"NONE",1987-10-07,NA
"52",1987,"MACKCC-L","CC","L",1,2,"C",36,NA,"Cutthroat trout",63,NA,2.05,"NONE",1987-10-07,NA
"53",1987,"MACKCC-L","CC","L",1,2,"C",37,NA,"Cutthroat trout",96,NA,7,"NONE",1987-10-07,NA
"54",1987,"MACKCC-L","CC","L",1,2,"C",38,NA,"Cutthroat trout",62,NA,2.3,"NONE",1987-10-07,NA
"55",1987,"MACKCC-L","CC","L",1,2,"C",39,NA,"Cutthroat trout",57,NA,2.1,"NONE",1987-10-07,NA
"56",1987,"MACKCC-L","CC","L",1,2,"C",40,NA,"Cutthroat trout",57,NA,1.85,"NONE",1987-10-07,NA
"57",1987,"MACKCC-L","CC","L",1,2,"C",41,NA,"Cutthroat trout",56,NA,2.1,"NONE",1987-10-07,NA
"58",1987,"MACKCC-L","CC","L",1,2,"C",42,NA,"Cutthroat trout",64,NA,2.45,"NONE",1987-10-07,NA
"59",1987,"MACKCC-L","CC","L",1,2,"C",43,NA,"Cutthroat trout",58,NA,1.95,"NONE",1987-10-07,NA
"60",1987,"MACKCC-L","CC","L",1,2,"C",44,NA,"Cutthroat trout",70,NA,3.1,"NONE",1987-10-07,NA
"61",1987,"MACKCC-L","CC","L",1,2,"C",45,NA,"Cutthroat trout",68,NA,2.8,"NONE",1987-10-07,NA
"62",1987,"MACKCC-L","CC","L",1,3,"S",1,NA,"Cutthroat trout",83,NA,5.7,"NONE",1987-10-07,NA
"63",1987,"MACKCC-L","CC","L",1,3,"S",2,NA,"Cutthroat trout",55,NA,1.4,"NONE",1987-10-07,NA
"64",1987,"MACKCC-L","CC","L",1,4,"P",1,NA,"Cutthroat trout",61,NA,2.6,"NONE",1987-10-07,NA
"65",1987,"MACKCC-L","CC","L",1,4,"P",2,NA,"Cutthroat trout",142,NA,21.3,"NONE",1987-10-07,NA
"66",1987,"MACKCC-L","CC","L",1,4,"P",3,NA,"Cutthroat trout",121,NA,14.9,"NONE",1987-10-07,NA
"67",1987,"MACKCC-L","CC","L",1,4,"P",4,NA,"Cutthroat trout",100,NA,7.35,"NONE",1987-10-07,NA
"68",1987,"MACKCC-L","CC","L",1,4,"P",5,NA,"Cutthroat trout",96,NA,7.35,"NONE",1987-10-07,NA
"69",1987,"MACKCC-L","CC","L",1,4,"P",6,NA,"Cutthroat trout",158,NA,30.6,"NONE",1987-10-07,NA
"70",1987,"MACKCC-L","CC","L",1,4,"P",7,NA,"Cutthroat trout",96,NA,7.05,"NONE",1987-10-07,NA
"71",1987,"MACKCC-L","CC","L",1,4,"P",8,NA,"Cutthroat trout",60,NA,2.1,"NONE",1987-10-07,NA
"72",1987,"MACKCC-L","CC","L",1,4,"P",9,NA,"Cutthroat trout",55,NA,1.75,"NONE",1987-10-07,NA
"73",1987,"MACKCC-L","CC","L",1,5,"C",1,NA,"Cutthroat trout",66,NA,2.95,"NONE",1987-10-07,NA
"74",1987,"MACKCC-L","CC","L",1,5,"C",2,NA,"Cutthroat trout",116,NA,12.5,"NONE",1987-10-07,NA
"75",1987,"MACKCC-L","CC","L",1,5,"C",3,NA,"Cutthroat trout",134,NA,19.5,"NONE",1987-10-07,NA
"76",1987,"MACKCC-L","CC","L",1,5,"C",4,NA,"Cutthroat trout",63,NA,2.6,"NONE",1987-10-07,NA
"77",1987,"MACKCC-L","CC","L",1,6,"SC",1,NA,"Cutthroat trout",101,NA,9.55,"NONE",1987-10-07,NA
"78",1987,"MACKCC-L","CC","L",1,6,"SC",2,NA,"Cutthroat trout",58,NA,2,"NONE",1987-10-07,NA
"79",1987,"MACKCC-L","CC","L",1,6,"SC",3,NA,"Cutthroat trout",52,NA,1.25,"NONE",1987-10-07,NA
"80",1987,"MACKCC-L","CC","L",1,6,"SC",4,NA,"Cutthroat trout",28,NA,6.3,"NONE",1987-10-07,NA
"81",1987,"MACKCC-L","CC","L",1,6,"SC",5,NA,"Cutthroat trout",65,NA,2.35,"NONE",1987-10-07,NA
"82",1987,"MACKCC-L","CC","L",1,6,"SC",6,NA,"Cutthroat trout",61,NA,1.9,"NONE",1987-10-07,NA
"83",1987,"MACKCC-L","CC","L",1,6,"SC",7,NA,"Cutthroat trout",62,NA,2.15,"NONE",1987-10-07,NA
"84",1987,"MACKCC-L","CC","L",1,6,"SC",8,NA,"Cutthroat trout",135,NA,19.4,"NONE",1987-10-07,NA
"85",1987,"MACKCC-L","CC","L",1,6,"SC",9,NA,"Cutthroat trout",61,NA,2.3,"NONE",1987-10-07,NA
"86",1987,"MACKCC-L","CC","L",1,6,"SC",10,NA,"Cutthroat trout",106,NA,10.75,"NONE",1987-10-07,NA
"87",1987,"MACKCC-L","CC","L",1,6,"SC",11,NA,"Cutthroat trout",88,NA,5.2,"NONE",1987-10-07,NA
"88",1987,"MACKCC-L","CC","L",1,6,"SC",12,NA,"Cutthroat trout",103,NA,9.6,"NONE",1987-10-07,NA
"89",1987,"MACKCC-L","CC","L",1,6,"SC",13,NA,"Cutthroat trout",107,NA,9.5,"NONE",1987-10-07,NA
"90",1987,"MACKCC-L","CC","L",1,6,"SC",14,NA,"Cutthroat trout",53,NA,1.65,"NONE",1987-10-07,NA
"91",1987,"MACKCC-L","CC","L",1,6,"SC",15,NA,"Cutthroat trout",81,NA,4.5,"NONE",1987-10-07,NA
"92",1987,"MACKCC-L","CC","L",1,6,"SC",16,NA,"Cutthroat trout",58,NA,1.7,"NONE",1987-10-07,NA
"93",1987,"MACKCC-L","CC","L",1,6,"SC",17,NA,"Cutthroat trout",68,NA,2.45,"NONE",1987-10-07,NA
"94",1987,"MACKCC-L","CC","L",1,6,"SC",18,NA,"Cutthroat trout",57,NA,2.15,"NONE",1987-10-07,NA
"95",1987,"MACKCC-L","CC","L",1,6,"SC",19,NA,"Cutthroat trout",65,NA,2.7,"NONE",1987-10-07,NA
"96",1987,"MACKCC-L","CC","L",1,6,"SC",20,NA,"Cutthroat trout",59,NA,1.65,"NONE",1987-10-07,NA
"97",1987,"MACKCC-L","CC","L",1,6,"SC",21,NA,"Cutthroat trout",51,NA,1.45,"NONE",1987-10-07,NA
"98",1987,"MACKCC-L","CC","L",1,6,"SC",22,NA,"Cutthroat trout",59,NA,1.25,"NONE",1987-10-07,NA
"99",1987,"MACKCC-L","CC","L",1,6,"SC",23,NA,"Cutthroat trout",58,NA,1.25,"NONE",1987-10-07,NA
"100",1987,"MACKCC-L","CC","L",1,6,"SC",24,NA,"Cutthroat trout",58,NA,1.85,"NONE",1987-10-07,NA
"101",1987,"MACKCC-L","CC","L",1,6,"SC",25,NA,"Cutthroat trout",53,NA,1.65,"NONE",1987-10-07,NA
"102",1987,"MACKCC-L","CC","L",1,6,"SC",26,NA,"Cutthroat trout",55,NA,1.75,"NONE",1987-10-07,NA
"103",1987,"MACKCC-L","CC","L",1,6,"SC",27,NA,"Cutthroat trout",58,NA,2,"NONE",1987-10-07,NA
"104",1987,"MACKCC-L","CC","L",1,6,"SC",28,NA,"Cutthroat trout",55,NA,1.7,"NONE",1987-10-07,NA
"105",1987,"MACKCC-L","CC","L",1,6,"SC",29,NA,"Cutthroat trout",57,NA,1.85,"NONE",1987-10-07,NA
"106",1987,"MACKCC-L","CC","L",2,1,"R",1,NA,"Cutthroat trout",61,NA,2.15,"NONE",1987-10-07,NA
"107",1987,"MACKCC-L","CC","L",2,1,"R",2,NA,"Cutthroat trout",98,NA,9.65,"NONE",1987-10-07,NA
"108",1987,"MACKCC-L","CC","L",2,1,"R",3,NA,"Cutthroat trout",92,NA,6.95,"NONE",1987-10-07,NA
"109",1987,"MACKCC-L","CC","L",2,1,"R",4,NA,"Cutthroat trout",92,NA,6.95,"NONE",1987-10-07,NA
"110",1987,"MACKCC-L","CC","L",2,1,"R",5,NA,"Cutthroat trout",121,NA,16.8,"NONE",1987-10-07,NA
"111",1987,"MACKCC-L","CC","L",2,1,"R",6,NA,"Cutthroat trout",106,NA,10,"NONE",1987-10-07,NA
"112",1987,"MACKCC-L","CC","L",2,2,"C",1,NA,"Cutthroat trout",96,NA,7.35,"NONE",1987-10-07,NA
"113",1987,"MACKCC-L","CC","L",2,2,"C",2,NA,"Cutthroat trout",97,NA,8.5,"NONE",1987-10-07,NA
"114",1987,"MACKCC-L","CC","L",2,2,"C",3,NA,"Cutthroat trout",101,NA,8.7,"NONE",1987-10-07,NA
"115",1987,"MACKCC-L","CC","L",2,4,"P",1,NA,"Cutthroat trout",57,NA,2.15,"NONE",1987-10-07,NA
"116",1987,"MACKCC-L","CC","L",2,4,"P",2,NA,"Cutthroat trout",122,NA,15.25,"NONE",1987-10-07,NA
"117",1987,"MACKCC-L","CC","L",2,4,"P",3,NA,"Cutthroat trout",102,NA,11.3,"NONE",1987-10-07,NA
"118",1987,"MACKCC-L","CC","L",2,4,"P",4,NA,"Cutthroat trout",119,NA,18.5,"NONE",1987-10-07,NA
"119",1987,"MACKCC-L","CC","L",2,4,"P",5,NA,"Cutthroat trout",158,NA,33.6,"NONE",1987-10-07,NA
"120",1987,"MACKCC-L","CC","L",2,5,"C",1,NA,"Cutthroat trout",85,NA,5,"NONE",1987-10-07,NA
"121",1987,"MACKCC-L","CC","L",2,6,"SC",1,NA,"Cutthroat trout",55,NA,1.65,"NONE",1987-10-07,NA
"122",1987,"MACKCC-M","CC","M",1,7,"P",1,NA,"Cutthroat trout",59,NA,1.85,"NONE",1987-10-07,NA
"123",1987,"MACKCC-M","CC","M",1,7,"P",2,NA,"Cutthroat trout",95,NA,7.2,"NONE",1987-10-07,NA
"124",1987,"MACKCC-M","CC","M",1,7,"P",3,NA,"Cutthroat trout",108,NA,10.45,"NONE",1987-10-07,NA
"125",1987,"MACKCC-M","CC","M",1,7,"P",4,NA,"Cutthroat trout",114,NA,11.7,"NONE",1987-10-07,NA
"126",1987,"MACKCC-M","CC","M",1,7,"P",5,NA,"Cutthroat trout",115,NA,15.5,"NONE",1987-10-07,NA
"127",1987,"MACKCC-M","CC","M",1,7,"P",6,NA,"Cutthroat trout",166,NA,37.15,"NONE",1987-10-07,NA
"128",1987,"MACKCC-M","CC","M",1,7,"P",7,NA,"Cutthroat trout",145,NA,27.8,"NONE",1987-10-07,NA
"129",1987,"MACKCC-M","CC","M",1,7,"P",8,NA,"Cutthroat trout",184,NA,64.2,"NONE",1987-10-07,NA
"130",1987,"MACKCC-M","CC","M",1,7,"P",9,NA,"Cutthroat trout",140,NA,23.4,"NONE",1987-10-07,NA
"131",1987,"MACKCC-M","CC","M",1,7,"P",10,NA,"Cutthroat trout",151,NA,31.2,"NONE",1987-10-07,NA
"132",1987,"MACKCC-M","CC","M",1,7,"P",11,NA,"Cutthroat trout",133,NA,19.5,"NONE",1987-10-07,NA
"133",1987,"MACKCC-M","CC","M",1,7,"P",12,NA,"Cutthroat trout",124,NA,17.15,"NONE",1987-10-07,NA
"134",1987,"MACKCC-M","CC","M",1,7,"P",13,NA,"Cutthroat trout",130,NA,19.25,"NONE",1987-10-07,NA
"135",1987,"MACKCC-M","CC","M",1,7,"P",14,NA,"Cutthroat trout",88,NA,6.5,"NONE",1987-10-07,NA
"136",1987,"MACKCC-M","CC","M",1,7,"P",15,NA,"Cutthroat trout",107,NA,10.65,"NONE",1987-10-07,NA
"137",1987,"MACKCC-M","CC","M",1,7,"P",16,NA,"Cutthroat trout",94,NA,6.85,"NONE",1987-10-07,NA
"138",1987,"MACKCC-M","CC","M",1,7,"P",17,NA,"Cutthroat trout",69,NA,3.5,"NONE",1987-10-07,NA
"139",1987,"MACKCC-M","CC","M",1,7,"P",18,NA,"Cutthroat trout",57,NA,2.2,"NONE",1987-10-07,NA
"140",1987,"MACKCC-M","CC","M",1,7,"P",19,NA,"Cutthroat trout",92,NA,6.05,"NONE",1987-10-07,NA
"141",1987,"MACKCC-M","CC","M",1,7,"P",20,NA,"Cutthroat trout",89,NA,6.55,"NONE",1987-10-07,NA
"142",1987,"MACKCC-M","CC","M",1,8,"C",1,NA,"Cutthroat trout",60,NA,1.95,"NONE",1987-10-07,NA
"143",1987,"MACKCC-M","CC","M",1,8,"C",2,NA,"Cutthroat trout",147,NA,30.15,"NONE",1987-10-07,NA
"144",1987,"MACKCC-M","CC","M",1,8,"C",3,NA,"Cutthroat trout",150,NA,28.1,"NONE",1987-10-07,NA
"145",1987,"MACKCC-M","CC","M",1,8,"C",4,NA,"Cutthroat trout",56,NA,1.8,"NONE",1987-10-07,NA
"146",1987,"MACKCC-M","CC","M",1,8,"C",5,NA,"Cutthroat trout",62,NA,2,"NONE",1987-10-07,NA
"147",1987,"MACKCC-M","CC","M",1,8,"C",6,NA,"Cutthroat trout",53,NA,1.55,"NONE",1987-10-07,NA
"148",1987,"MACKCC-M","CC","M",1,8,"C",7,NA,"Cutthroat trout",57,NA,2.15,"NONE",1987-10-07,NA
"149",1987,"MACKCC-M","CC","M",1,8,"C",8,NA,"Cutthroat trout",52,NA,1.5,"NONE",1987-10-07,NA
"150",1987,"MACKCC-M","CC","M",1,8,"C",9,NA,"Cutthroat trout",101,NA,8.6,"NONE",1987-10-07,NA
"151",1987,"MACKCC-M","CC","M",1,8,"C",10,NA,"Cutthroat trout",100,NA,9.25,"NONE",1987-10-07,NA
"152",1987,"MACKCC-M","CC","M",1,8,"C",11,NA,"Cutthroat trout",112,NA,12.25,"NONE",1987-10-07,NA
"153",1987,"MACKCC-M","CC","M",1,8,"C",12,NA,"Cutthroat trout",136,NA,21.05,"NONE",1987-10-07,NA
"154",1987,"MACKCC-M","CC","M",1,8,"C",13,NA,"Cutthroat trout",133,NA,22.55,"NONE",1987-10-07,NA
"155",1987,"MACKCC-M","CC","M",1,8,"C",14,NA,"Cutthroat trout",94,NA,7.15,"NONE",1987-10-07,NA
"156",1987,"MACKCC-M","CC","M",1,8,"C",15,NA,"Cutthroat trout",52,NA,1.25,"NONE",1987-10-07,NA
"157",1987,"MACKCC-M","CC","M",1,8,"C",16,NA,"Cutthroat trout",97,NA,7.8,"NONE",1987-10-07,NA
"158",1987,"MACKCC-M","CC","M",1,8,"C",17,NA,"Cutthroat trout",106,NA,9.8,"NONE",1987-10-07,NA
"159",1987,"MACKCC-M","CC","M",1,8,"C",18,NA,"Cutthroat trout",85,NA,5.65,"NONE",1987-10-07,NA
"160",1987,"MACKCC-M","CC","M",1,8,"C",19,NA,"Cutthroat trout",105,NA,9.75,"NONE",1987-10-07,NA
"161",1987,"MACKCC-M","CC","M",1,8,"C",20,NA,"Cutthroat trout",143,NA,24,"NONE",1987-10-07,NA
"162",1987,"MACKCC-M","CC","M",1,8,"C",21,NA,"Cutthroat trout",148,NA,28.9,"NONE",1987-10-07,NA
"163",1987,"MACKCC-M","CC","M",1,8,"C",22,NA,"Cutthroat trout",96,NA,7.6,"NONE",1987-10-07,NA
"164",1987,"MACKCC-M","CC","M",1,8,"C",23,NA,"Cutthroat trout",122,NA,15.4,"NONE",1987-10-07,NA
"165",1987,"MACKCC-M","CC","M",1,8,"C",24,NA,"Cutthroat trout",127,NA,17.1,"NONE",1987-10-07,NA
"166",1987,"MACKCC-M","CC","M",1,8,"C",25,NA,"Cutthroat trout",117,NA,13.55,"NONE",1987-10-07,NA
"167",1987,"MACKCC-M","CC","M",1,9,"SC",1,NA,"Cutthroat trout",65,NA,2.4,"NONE",1987-10-07,NA
"168",1987,"MACKCC-M","CC","M",1,9,"SC",2,NA,"Cutthroat trout",65,NA,2.45,"NONE",1987-10-07,NA
"169",1987,"MACKCC-M","CC","M",1,9,"SC",3,NA,"Cutthroat trout",98,NA,9.35,"NONE",1987-10-07,NA
"170",1987,"MACKCC-M","CC","M",1,9,"SC",4,NA,"Cutthroat trout",131,NA,21.3,"NONE",1987-10-07,NA
"171",1987,"MACKCC-M","CC","M",1,9,"SC",5,NA,"Cutthroat trout",120,NA,15.4,"NONE",1987-10-07,NA
"172",1987,"MACKCC-M","CC","M",1,9,"SC",6,NA,"Cutthroat trout",139,NA,27.75,"NONE",1987-10-07,NA
"173",1987,"MACKCC-M","CC","M",1,9,"SC",7,NA,"Cutthroat trout",95,NA,8.55,"NONE",1987-10-07,NA
"174",1987,"MACKCC-M","CC","M",1,9,"SC",8,NA,"Cutthroat trout",88,NA,6.3,"NONE",1987-10-07,NA
"175",1987,"MACKCC-M","CC","M",1,9,"SC",9,NA,"Cutthroat trout",61,NA,2.15,"NONE",1987-10-07,NA
"176",1987,"MACKCC-M","CC","M",1,9,"SC",10,NA,"Cutthroat trout",63,NA,2.1,"NONE",1987-10-07,NA
"177",1987,"MACKCC-M","CC","M",1,9,"SC",11,NA,"Cutthroat trout",105,NA,10.55,"NONE",1987-10-07,NA
"178",1987,"MACKCC-M","CC","M",1,9,"SC",12,NA,"Cutthroat trout",63,NA,2.2,"NONE",1987-10-07,NA
"179",1987,"MACKCC-M","CC","M",1,9,"SC",13,NA,"Cutthroat trout",59,NA,2.35,"NONE",1987-10-07,NA
"180",1987,"MACKCC-M","CC","M",1,9,"SC",14,NA,"Cutthroat trout",60,NA,1.9,"NONE",1987-10-07,NA
"181",1987,"MACKCC-M","CC","M",1,9,"SC",15,NA,"Cutthroat trout",53,NA,1.6,"NONE",1987-10-07,NA
"182",1987,"MACKCC-M","CC","M",1,9,"SC",16,NA,"Cutthroat trout",71,NA,3.25,"NONE",1987-10-07,NA
"183",1987,"MACKCC-M","CC","M",1,9,"SC",17,NA,"Cutthroat trout",56,NA,1.6,"NONE",1987-10-07,NA
"184",1987,"MACKCC-M","CC","M",1,9,"SC",18,NA,"Cutthroat trout",61,NA,2.5,"NONE",1987-10-07,NA
"185",1987,"MACKCC-M","CC","M",1,9,"SC",19,NA,"Cutthroat trout",51,NA,1.2,"NONE",1987-10-07,NA
"186",1987,"MACKCC-M","CC","M",1,10,"P",1,NA,"Cutthroat trout",98,NA,8.65,"NONE",1987-10-07,NA
"187",1987,"MACKCC-M","CC","M",1,10,"P",2,NA,"Cutthroat trout",43,NA,0.45,"NONE",1987-10-07,NA
"188",1987,"MACKCC-M","CC","M",1,10,"P",3,NA,"Cutthroat trout",51,NA,1.2,"NONE",1987-10-07,NA
"189",1987,"MACKCC-M","CC","M",1,10,"P",4,NA,"Cutthroat trout",53,NA,1.25,"NONE",1987-10-07,NA
"190",1987,"MACKCC-M","CC","M",1,10,"P",5,NA,"Cutthroat trout",144,NA,25.8,"NONE",1987-10-07,NA
"191",1987,"MACKCC-M","CC","M",1,10,"P",6,NA,"Cutthroat trout",131,NA,20.65,"NONE",1987-10-07,NA
"192",1987,"MACKCC-M","CC","M",1,10,"P",7,NA,"Cutthroat trout",131,NA,19.75,"NONE",1987-10-07,NA
"193",1987,"MACKCC-M","CC","M",1,10,"P",8,NA,"Cutthroat trout",106,NA,9.65,"NONE",1987-10-07,NA
"194",1987,"MACKCC-M","CC","M",1,10,"P",9,NA,"Cutthroat trout",120,NA,14.55,"NONE",1987-10-07,NA
"195",1987,"MACKCC-M","CC","M",1,10,"P",10,NA,"Cutthroat trout",165,NA,40.5,"NONE",1987-10-07,NA
"196",1987,"MACKCC-M","CC","M",1,10,"P",11,NA,"Cutthroat trout",48,NA,1.05,"NONE",1987-10-07,NA
"197",1987,"MACKCC-M","CC","M",1,10,"P",12,NA,"Cutthroat trout",49,NA,1.2,"NONE",1987-10-07,NA
"198",1987,"MACKCC-M","CC","M",1,10,"P",13,NA,"Cutthroat trout",62,NA,2.75,"NONE",1987-10-07,NA
"199",1987,"MACKCC-M","CC","M",1,11,"C",1,NA,"Cutthroat trout",72,NA,3.6,"NONE",1987-10-07,NA
"200",1987,"MACKCC-M","CC","M",1,11,"C",2,NA,"Cutthroat trout",128,NA,19.3,"NONE",1987-10-07,NA
"201",1987,"MACKCC-M","CC","M",1,11,"C",3,NA,"Cutthroat trout",47,NA,1.1,"NONE",1987-10-07,NA
"202",1987,"MACKCC-M","CC","M",1,11,"C",4,NA,"Cutthroat trout",126,NA,18.7,"NONE",1987-10-07,NA
"203",1987,"MACKCC-M","CC","M",1,11,"C",5,NA,"Cutthroat trout",99,NA,8.95,"NONE",1987-10-07,NA
"204",1987,"MACKCC-M","CC","M",1,11,"C",6,NA,"Cutthroat trout",86,NA,6,"NONE",1987-10-07,NA
"205",1987,"MACKCC-M","CC","M",1,11,"C",7,NA,"Cutthroat trout",130,NA,18.65,"NONE",1987-10-07,NA
"206",1987,"MACKCC-M","CC","M",1,11,"C",8,NA,"Cutthroat trout",123,NA,16.7,"NONE",1987-10-07,NA
"207",1987,"MACKCC-M","CC","M",1,11,"C",9,NA,"Cutthroat trout",104,NA,10.05,"NONE",1987-10-07,NA
"208",1987,"MACKCC-M","CC","M",1,11,"C",10,NA,"Cutthroat trout",66,NA,2.55,"NONE",1987-10-07,NA
"209",1987,"MACKCC-M","CC","M",1,11,"C",11,NA,"Cutthroat trout",65,NA,2.75,"NONE",1987-10-07,NA
