"","date","station","mean_airtemp","daily_precip","mean_windspeed"
"80",1988-08-19,"Toolik Field Station",6.7,0.8,2.1
"81",1988-08-20,"Toolik Field Station",9.1,1.5,1.6
"82",1988-08-21,"Toolik Field Station",9.9,3.6,2.8
"83",1988-08-22,"Toolik Field Station",1.6,1.3,3.6
"84",1988-08-23,"Toolik Field Station",-0.2,4.3,2.3
"85",1988-08-24,"Toolik Field Station",4.2,0,1.7
"86",1988-08-25,"Toolik Field Station",6.7,0,NA
"87",1988-08-26,"Toolik Field Station",10.2,0,3.4
"88",1988-08-27,"Toolik Field Station",8.9,0,2.9
"89",1988-08-28,"Toolik Field Station",5,0,2.3
"90",1988-08-29,"Toolik Field Station",1.1,5.1,3.3
"91",1988-08-30,"Toolik Field Station",-2.5,0,3.8
"92",1988-08-31,"Toolik Field Station",-5.5,2.5,2.6
"93",1988-09-01,"Toolik Field Station",-5.2,2.5,1.4
"94",1988-09-02,"Toolik Field Station",1.8,5.1,2.4
"95",1988-09-03,"Toolik Field Station",5.2,0,3.2
"96",1988-09-04,"Toolik Field Station",2.3,5.1,1.9
"97",1988-09-05,"Toolik Field Station",0,7.6,2.1
"98",1988-09-06,"Toolik Field Station",-1,0,1.9
"99",1988-09-07,"Toolik Field Station",2.5,5.1,3.5
"100",1988-09-08,"Toolik Field Station",4.3,0,3.1
"101",1988-09-09,"Toolik Field Station",3.1,0,3
"102",1988-09-10,"Toolik Field Station",3,0,2.9
"103",1988-09-11,"Toolik Field Station",-1.9,0,2.1
"104",1988-09-12,"Toolik Field Station",-0.6,0,1.3
"105",1988-09-13,"Toolik Field Station",1.7,5.1,2.1
"106",1988-09-14,"Toolik Field Station",2.5,2.5,3
"107",1988-09-15,"Toolik Field Station",2,0,2.3
"108",1988-09-16,"Toolik Field Station",3.7,0,2.4
"109",1988-09-17,"Toolik Field Station",5.6,0,3.6
"110",1988-09-18,"Toolik Field Station",4.4,0,3.3
"111",1988-09-19,"Toolik Field Station",-2.8,0,1.1
"112",1988-09-20,"Toolik Field Station",-4.2,0,0.4
"113",1988-09-21,"Toolik Field Station",-3.8,0,1.2
"114",1988-09-22,"Toolik Field Station",-3.3,0,0.9
"115",1988-09-23,"Toolik Field Station",-2.1,0,1.7
"116",1988-09-24,"Toolik Field Station",-3,0,1.9
"117",1988-09-25,"Toolik Field Station",-2.7,0,2
"118",1988-09-26,"Toolik Field Station",-1.8,0,4.1
"119",1988-09-27,"Toolik Field Station",-3.5,0,5
"120",1988-09-28,"Toolik Field Station",-2.1,0,3
"121",1988-09-29,"Toolik Field Station",-3,0,5
"122",1988-09-30,"Toolik Field Station",-8.9,0,4
"123",1988-10-01,"Toolik Field Station",-2.6,0,7.4
"124",1988-10-02,"Toolik Field Station",-4.9,0,2.5
"125",1988-10-03,"Toolik Field Station",-6.6,0,1.7
"126",1988-10-04,"Toolik Field Station",-10.7,0,2.2
"127",1988-10-05,"Toolik Field Station",-11.6,2.5,1.1
"128",1988-10-06,"Toolik Field Station",-10.3,2.5,1.2
"129",1988-10-07,"Toolik Field Station",-13.9,5.1,2.9
"130",1988-10-08,"Toolik Field Station",-12.6,0,2.2
"131",1988-10-09,"Toolik Field Station",-13.3,0,1.1
"132",1988-10-10,"Toolik Field Station",-16.1,0,0.6
"133",1988-10-11,"Toolik Field Station",-20.1,0,1.4
"134",1988-10-12,"Toolik Field Station",-17.3,0,4
"135",1988-10-13,"Toolik Field Station",-16.3,0,5.1
"136",1988-10-14,"Toolik Field Station",-11.3,0,3.6
"137",1988-10-15,"Toolik Field Station",-13.5,0,3.5
"138",1988-10-16,"Toolik Field Station",-15.7,0,3
"139",1988-10-17,"Toolik Field Station",-19.8,0,2.1
"140",1988-10-18,"Toolik Field Station",-23.4,0,2
"141",1988-10-19,"Toolik Field Station",-19.4,2.5,2.7
"142",1988-10-20,"Toolik Field Station",-15.4,0,3.4
"143",1988-10-21,"Toolik Field Station",-18.3,0,2.3
"144",1988-10-22,"Toolik Field Station",-20.1,0,1.6
"145",1988-10-23,"Toolik Field Station",-21.1,0,1.1
"146",1988-10-24,"Toolik Field Station",-21.5,0,0.5
"147",1988-10-25,"Toolik Field Station",-29.9,0,0.4
"148",1988-10-26,"Toolik Field Station",-26.1,0,0.4
"149",1988-10-27,"Toolik Field Station",-26.6,0,1.5
"150",1988-10-28,"Toolik Field Station",-19.4,0,3.2
"151",1988-10-29,"Toolik Field Station",-21.8,0,1.7
"152",1988-10-30,"Toolik Field Station",-19.3,0,2.3
"153",1988-10-31,"Toolik Field Station",-9.3,0,4.2
"154",1988-11-01,"Toolik Field Station",-10.1,0,4.4
"155",1988-11-02,"Toolik Field Station",-8.5,0,1.5
"156",1988-11-03,"Toolik Field Station",-13.2,0,0.4
"157",1988-11-04,"Toolik Field Station",-15.5,0,1.8
"158",1988-11-05,"Toolik Field Station",-22.9,0,2.1
"159",1988-11-06,"Toolik Field Station",-30,0,2.4
"160",1988-11-07,"Toolik Field Station",-33.3,0,1.9
"161",1988-11-08,"Toolik Field Station",-23,2.5,1.1
"162",1988-11-09,"Toolik Field Station",-23.4,0,1.6
"163",1988-11-10,"Toolik Field Station",-34.7,0,0.7
"164",1988-11-11,"Toolik Field Station",-39.2,0,0.6
"165",1988-11-12,"Toolik Field Station",-41,0,0.6
"166",1988-11-13,"Toolik Field Station",-36.7,0,0.5
"167",1988-11-14,"Toolik Field Station",-34.2,0,0.4
"168",1988-11-15,"Toolik Field Station",-36.5,0,0.4
"169",1988-11-16,"Toolik Field Station",-22.8,0,2.1
"170",1988-11-17,"Toolik Field Station",-20.2,0,3.4
"171",1988-11-18,"Toolik Field Station",-17.8,0,4.6
"172",1988-11-19,"Toolik Field Station",-12.4,0,1.7
"173",1988-11-20,"Toolik Field Station",-32.8,0,1.8
"174",1988-11-21,"Toolik Field Station",-36.2,0,2.1
"175",1988-11-22,"Toolik Field Station",-33.6,0,1.5
"176",1988-11-23,"Toolik Field Station",-33.3,0,1.6
"177",1988-11-24,"Toolik Field Station",-38.7,0,1.4
"178",1988-11-25,"Toolik Field Station",-38,0,1
"179",1988-11-26,"Toolik Field Station",-39.1,0,0.9
"180",1988-11-27,"Toolik Field Station",-37.1,0,1.3
"181",1988-11-28,"Toolik Field Station",-36.1,0,1
"182",1988-11-29,"Toolik Field Station",-40.5,0,1
"183",1988-11-30,"Toolik Field Station",-35.8,0,1
"184",1988-12-01,"Toolik Field Station",-37.1,0,1.8
"185",1988-12-02,"Toolik Field Station",-39.6,0,1.9
"186",1988-12-03,"Toolik Field Station",-37.2,0,1.3
"187",1988-12-04,"Toolik Field Station",-33.9,0,1.5
"188",1988-12-05,"Toolik Field Station",-22.2,5.1,3.7
"189",1988-12-06,"Toolik Field Station",-29.1,0,4.1
"190",1988-12-07,"Toolik Field Station",-27.8,0,3.3
"191",1988-12-08,"Toolik Field Station",-28,2.5,1.8
"192",1988-12-09,"Toolik Field Station",-27.3,0,1.7
"193",1988-12-10,"Toolik Field Station",-24.1,0,2.1
"194",1988-12-11,"Toolik Field Station",-9.9,5.1,2.9
"195",1988-12-12,"Toolik Field Station",-7.7,0,1.8
"196",1988-12-13,"Toolik Field Station",-20.2,0,1.4
"197",1988-12-14,"Toolik Field Station",-9.8,0,6
"198",1988-12-15,"Toolik Field Station",-3.1,5.1,8.2
"199",1988-12-16,"Toolik Field Station",-3.4,0,4.5
"200",1988-12-17,"Toolik Field Station",-5.5,0,6.2
"201",1988-12-18,"Toolik Field Station",-8.1,0,7.6
"202",1988-12-19,"Toolik Field Station",-6.4,0,3.9
"203",1988-12-20,"Toolik Field Station",-9.5,0,2.8
"204",1988-12-21,"Toolik Field Station",-16.4,0,2.6
"205",1988-12-22,"Toolik Field Station",-15.9,0,4.1
"206",1988-12-23,"Toolik Field Station",-20.2,0,1.7
"207",1988-12-24,"Toolik Field Station",-25.1,0,1.9
"208",1988-12-25,"Toolik Field Station",-9.2,0,7.1
"209",1988-12-26,"Toolik Field Station",-9.2,2.5,5.3
"210",1988-12-27,"Toolik Field Station",-4.5,0,8
"211",1988-12-28,"Toolik Field Station",-6.9,0,5.6
"212",1988-12-29,"Toolik Field Station",-8.8,0,6.7
"213",1988-12-30,"Toolik Field Station",-14.4,0,5
"214",1988-12-31,"Toolik Field Station",-8.6,0,5.8
"215",1989-01-01,"Toolik Field Station",-7.6,0,3.9
"216",1989-01-02,"Toolik Field Station",-11.1,0,4
"217",1989-01-03,"Toolik Field Station",-17.4,0,3.6
"218",1989-01-04,"Toolik Field Station",-16.7,0,6
"219",1989-01-05,"Toolik Field Station",-9.4,0,7.8
"220",1989-01-06,"Toolik Field Station",-4.5,0,8.1
"221",1989-01-07,"Toolik Field Station",-10.6,2.5,2.2
"222",1989-01-08,"Toolik Field Station",-13.8,0,2.8
"223",1989-01-09,"Toolik Field Station",-15.4,2.5,4.6
"224",1989-01-10,"Toolik Field Station",-24.4,5.1,3.5
"225",1989-01-11,"Toolik Field Station",-30.3,0,3.5
"226",1989-01-12,"Toolik Field Station",-33.5,0,2.5
"227",1989-01-13,"Toolik Field Station",-32.2,0,4.5
"228",1989-01-14,"Toolik Field Station",-33,0,3.5
"229",1989-01-15,"Toolik Field Station",-32.9,0,4
"230",1989-01-16,"Toolik Field Station",-35.2,0,3.4
"231",1989-01-17,"Toolik Field Station",-35,0,3.2
"232",1989-01-18,"Toolik Field Station",-37.7,0,2.6
"233",1989-01-19,"Toolik Field Station",-37.4,0,3.4
"234",1989-01-20,"Toolik Field Station",-35.5,0,4.1
"235",1989-01-21,"Toolik Field Station",-38.6,0,3.2
"236",1989-01-22,"Toolik Field Station",-37.3,0,3.4
"237",1989-01-23,"Toolik Field Station",-38.6,0,3.1
"238",1989-01-24,"Toolik Field Station",-45.8,0,2.5
"239",1989-01-25,"Toolik Field Station",-49.9,0,2.2
"240",1989-01-26,"Toolik Field Station",-55.6,0,1.1
"241",1989-01-27,"Toolik Field Station",-50,0,0.9
"242",1989-01-28,"Toolik Field Station",-44.5,0,2.8
"243",1989-01-29,"Toolik Field Station",-33.4,2.5,4.1
"244",1989-01-30,"Toolik Field Station",-34.4,2.5,4.7
"245",1989-01-31,"Toolik Field Station",-24.5,5.1,5.3
"246",1989-02-01,"Toolik Field Station",-18.5,0,6.9
"247",1989-02-02,"Toolik Field Station",-7.7,0,10.3
"248",1989-02-03,"Toolik Field Station",-7.4,0,9.4
"249",1989-02-04,"Toolik Field Station",-6.5,0,7.1
"250",1989-02-05,"Toolik Field Station",-10.3,0,2.9
"251",1989-02-06,"Toolik Field Station",-6.9,0,5.4
"252",1989-02-07,"Toolik Field Station",-2.2,0,6.9
"253",1989-02-08,"Toolik Field Station",-2.8,0,5.7
"254",1989-02-09,"Toolik Field Station",-4.1,0,7.3
"255",1989-02-10,"Toolik Field Station",-2.2,0,5
"256",1989-02-11,"Toolik Field Station",-7.6,2.5,4.5
"257",1989-02-12,"Toolik Field Station",-2.5,0,6.8
"258",1989-02-13,"Toolik Field Station",-10.3,2.5,3.7
"259",1989-02-14,"Toolik Field Station",-2,0,5.4
"260",1989-02-15,"Toolik Field Station",-7.1,0,3.6
"261",1989-02-16,"Toolik Field Station",-5,0,6.8
"262",1989-02-17,"Toolik Field Station",-0.8,0,5.8
"263",1989-02-18,"Toolik Field Station",-5.4,0,5
"264",1989-02-19,"Toolik Field Station",-2,0,6.9
"265",1989-02-20,"Toolik Field Station",-12.9,0,2.3
"266",1989-02-21,"Toolik Field Station",-6.7,0,6.5
"267",1989-02-22,"Toolik Field Station",-19.8,0,3.4
"268",1989-02-23,"Toolik Field Station",-20.1,2.5,6.3
"269",1989-02-24,"Toolik Field Station",-9.1,0,11
"270",1989-02-25,"Toolik Field Station",-4.6,0,12
"271",1989-02-26,"Toolik Field Station",-18.3,5.1,6.1
"272",1989-02-27,"Toolik Field Station",-16,0,5.5
"273",1989-02-28,"Toolik Field Station",-6.8,2.5,8.3
"274",1989-03-01,"Toolik Field Station",-8.6,0,6.1
"275",1989-03-02,"Toolik Field Station",-28.8,0,4.8
"276",1989-03-03,"Toolik Field Station",-32.4,0,4.1
"277",1989-03-04,"Toolik Field Station",-22.6,0,5.1
"278",1989-03-05,"Toolik Field Station",-20.4,0,2.8
"279",1989-03-06,"Toolik Field Station",-25.5,0,2.8
"280",1989-03-07,"Toolik Field Station",-31.5,0,3.6
"281",1989-03-08,"Toolik Field Station",-25.5,0,4.4
"282",1989-03-09,"Toolik Field Station",-14.4,0,7.3
"283",1989-03-10,"Toolik Field Station",-3.7,0,7.2
"284",1989-03-11,"Toolik Field Station",-5.7,0,4.4
"285",1989-03-12,"Toolik Field Station",-4.7,0,5.1
"286",1989-03-13,"Toolik Field Station",-5.4,0,4.1
"287",1989-03-14,"Toolik Field Station",-11.9,0,2
"288",1989-03-15,"Toolik Field Station",-14,0,2.6
"289",1989-03-16,"Toolik Field Station",-16.2,0,0.9
"290",1989-03-17,"Toolik Field Station",-27.8,0,1.6
"291",1989-03-18,"Toolik Field Station",-29.4,0,2.2
"292",1989-03-19,"Toolik Field Station",-30.7,0,1.8
"293",1989-03-20,"Toolik Field Station",-27.2,0,2.9
"294",1989-03-21,"Toolik Field Station",-28.8,0,2.3
"295",1989-03-22,"Toolik Field Station",-28.7,0,2.1
"296",1989-03-23,"Toolik Field Station",-24.7,0,2.9
"297",1989-03-24,"Toolik Field Station",-21.6,0,3.4
"298",1989-03-25,"Toolik Field Station",-16.7,0,2.6
"299",1989-03-26,"Toolik Field Station",-12,0,10
"300",1989-03-27,"Toolik Field Station",-12.3,2.5,5.1
"301",1989-03-28,"Toolik Field Station",-17.4,0,3.1
"302",1989-03-29,"Toolik Field Station",-18.9,0,3.2
"303",1989-03-30,"Toolik Field Station",-16.6,0,4.1
"304",1989-03-31,"Toolik Field Station",-17.6,0,2.6
"305",1989-04-01,"Toolik Field Station",-20.3,0,2.3
"306",1989-04-02,"Toolik Field Station",-21.4,0,1.3
"307",1989-04-03,"Toolik Field Station",-17.3,0,2.8
"308",1989-04-04,"Toolik Field Station",-10.8,0,3.6
"309",1989-04-05,"Toolik Field Station",-17.9,0,3.1
"310",1989-04-06,"Toolik Field Station",-5.7,0,8
"311",1989-04-07,"Toolik Field Station",-1,5.1,9.7
"312",1989-04-08,"Toolik Field Station",-0.7,5.1,7.1
"313",1989-04-09,"Toolik Field Station",-2.7,0,5.5
"314",1989-04-10,"Toolik Field Station",-8.1,0,2.6
"315",1989-04-11,"Toolik Field Station",-5.9,0,4.4
"316",1989-04-12,"Toolik Field Station",-2,0,7
"317",1989-04-13,"Toolik Field Station",1.1,0,6.1
"318",1989-04-14,"Toolik Field Station",-0.7,0,2.9
"319",1989-04-15,"Toolik Field Station",-1.1,0,5.4
"320",1989-04-16,"Toolik Field Station",0.6,0,4.3
"321",1989-04-17,"Toolik Field Station",-4.1,0,2.8
"322",1989-04-18,"Toolik Field Station",-11.1,0,2.2
"323",1989-04-19,"Toolik Field Station",-16.1,0,1.7
"324",1989-04-20,"Toolik Field Station",-16,0,1.4
"325",1989-04-21,"Toolik Field Station",-6.4,0,1.8
"326",1989-04-22,"Toolik Field Station",-11.7,0,2.1
"327",1989-04-23,"Toolik Field Station",-16.8,0,0.7
"328",1989-04-24,"Toolik Field Station",-3.3,0,3.7
"329",1989-04-25,"Toolik Field Station",-11.7,0,2.7
"330",1989-04-26,"Toolik Field Station",-14.1,0,1.9
"331",1989-04-27,"Toolik Field Station",-15.1,0,1.8
"332",1989-04-28,"Toolik Field Station",-12.9,10.2,2.5
"333",1989-04-29,"Toolik Field Station",-3.3,2.5,2.3
"334",1989-04-30,"Toolik Field Station",-4.2,0,2.7
"335",1989-05-01,"Toolik Field Station",-3.3,0,3
"336",1989-05-02,"Toolik Field Station",-0.8,5.1,3
"337",1989-05-03,"Toolik Field Station",0.5,0,2.2
"338",1989-05-04,"Toolik Field Station",-2.1,2.5,2.7
"339",1989-05-05,"Toolik Field Station",-2,0,2.3
"340",1989-05-06,"Toolik Field Station",-6,0,2.4
"341",1989-05-07,"Toolik Field Station",-7.2,0,1.4
"342",1989-05-08,"Toolik Field Station",-11.9,2.5,2.3
"343",1989-05-09,"Toolik Field Station",-14.4,0,2.2
"344",1989-05-10,"Toolik Field Station",-17.8,0,3.3
"345",1989-05-11,"Toolik Field Station",-18.5,0,1.9
"346",1989-05-12,"Toolik Field Station",-17.1,0,1.6
"347",1989-05-13,"Toolik Field Station",-5.7,0,3
"348",1989-05-14,"Toolik Field Station",-5.1,0,2.4
"349",1989-05-15,"Toolik Field Station",-13.4,0,2
"350",1989-05-16,"Toolik Field Station",-10.3,0,2.3
"351",1989-05-17,"Toolik Field Station",-5.3,0,NA
"352",1989-05-18,"Toolik Field Station",-1.1,0,NA
"353",1989-05-19,"Toolik Field Station",0,0,NA
"354",1989-05-20,"Toolik Field Station",0.1,0,NA
"355",1989-05-21,"Toolik Field Station",4.1,0,NA
"356",1989-05-22,"Toolik Field Station",2,0,NA
"357",1989-05-23,"Toolik Field Station",0.1,2.5,NA
"358",1989-05-24,"Toolik Field Station",2.2,0,NA
"359",1989-05-25,"Toolik Field Station",1.3,0,1.5
"360",1989-05-26,"Toolik Field Station",6.3,0,2
"361",1989-05-27,"Toolik Field Station",7,0,2.6
"362",1989-05-28,"Toolik Field Station",9.2,0,2.8
"363",1989-05-29,"Toolik Field Station",9.8,0,2.4
"364",1989-05-30,"Toolik Field Station",12.4,0,3.3
"365",1989-05-31,"Toolik Field Station",6.3,0,2
"366",1989-06-01,"Toolik Field Station",8,1.3,3.7
"367",1989-06-02,"Toolik Field Station",8.2,2,2.7
"368",1989-06-03,"Toolik Field Station",8.9,0.5,2.1
"369",1989-06-04,"Toolik Field Station",7.7,0.5,3.1
"370",1989-06-05,"Toolik Field Station",7.1,0,3.1
"371",1989-06-06,"Toolik Field Station",5.4,0,2.1
"372",1989-06-07,"Toolik Field Station",6.3,0.3,2.4
"373",1989-06-08,"Toolik Field Station",8.7,0.3,2.2
"374",1989-06-09,"Toolik Field Station",5.9,2.5,2.5
"375",1989-06-10,"Toolik Field Station",-0.9,3,3
"376",1989-06-11,"Toolik Field Station",3.7,5.8,4.5
"377",1989-06-12,"Toolik Field Station",-2.3,1.3,3.6
"378",1989-06-13,"Toolik Field Station",2,0.3,3.5
"379",1989-06-14,"Toolik Field Station",3,0,2.7
"380",1989-06-15,"Toolik Field Station",9.1,0,3.8
"381",1989-06-16,"Toolik Field Station",6.8,0.3,2.8
"382",1989-06-17,"Toolik Field Station",5.5,6.6,4.8
"383",1989-06-18,"Toolik Field Station",5.7,0.3,1.9
"384",1989-06-19,"Toolik Field Station",10.9,1.8,4.5
"385",1989-06-20,"Toolik Field Station",15.5,0.5,3.1
"386",1989-06-21,"Toolik Field Station",11.4,1.5,2.8
"387",1989-06-22,"Toolik Field Station",13,1,3.7
"388",1989-06-23,"Toolik Field Station",11.6,2.8,3
"389",1989-06-24,"Toolik Field Station",9.4,2,3.4
"390",1989-06-25,"Toolik Field Station",9.1,0,2.7
"391",1989-06-26,"Toolik Field Station",12,5.6,3.2
"392",1989-06-27,"Toolik Field Station",9.9,0,2.9
"393",1989-06-28,"Toolik Field Station",13.5,0,2.8
"394",1989-06-29,"Toolik Field Station",13.7,0,2.8
"395",1989-06-30,"Toolik Field Station",9.5,0.5,3.3
"396",1989-07-01,"Toolik Field Station",8,0,2.5
"397",1989-07-02,"Toolik Field Station",13.1,0,2.4
"398",1989-07-03,"Toolik Field Station",16.5,0,3.4
"399",1989-07-04,"Toolik Field Station",14.9,0,3.2
"400",1989-07-05,"Toolik Field Station",15.6,0,3.6
"401",1989-07-06,"Toolik Field Station",16.4,0,4.3
"402",1989-07-07,"Toolik Field Station",14.4,0,3
"403",1989-07-08,"Toolik Field Station",15.9,0,2.9
"404",1989-07-09,"Toolik Field Station",16.1,3,3.1
"405",1989-07-10,"Toolik Field Station",13.6,0.3,3.6
"406",1989-07-11,"Toolik Field Station",12.9,0,2.7
"407",1989-07-12,"Toolik Field Station",14.6,0,4.1
"408",1989-07-13,"Toolik Field Station",15.2,0,5.1
"409",1989-07-14,"Toolik Field Station",15.2,0,5.3
"410",1989-07-15,"Toolik Field Station",14.9,0,4.4
"411",1989-07-16,"Toolik Field Station",6,15.5,4.3
"412",1989-07-17,"Toolik Field Station",7.2,0.3,2.9
"413",1989-07-18,"Toolik Field Station",11,0,6.9
"414",1989-07-19,"Toolik Field Station",10.7,2.8,4.3
"415",1989-07-20,"Toolik Field Station",9.5,2.8,3.7
"416",1989-07-21,"Toolik Field Station",9.6,3.8,3.3
"417",1989-07-22,"Toolik Field Station",11.1,0,3.6
"418",1989-07-23,"Toolik Field Station",12.3,0,3
"419",1989-07-24,"Toolik Field Station",11.8,0,2.6
"420",1989-07-25,"Toolik Field Station",9.5,6.6,5.8
"421",1989-07-26,"Toolik Field Station",2.9,8.9,3.4
"422",1989-07-27,"Toolik Field Station",6,0,2
"423",1989-07-28,"Toolik Field Station",12.2,0,5.1
"424",1989-07-29,"Toolik Field Station",17.2,0,3.6
"425",1989-07-30,"Toolik Field Station",16,3.6,3
"426",1989-07-31,"Toolik Field Station",14,2.5,2.3
"427",1989-08-01,"Toolik Field Station",13.4,8.6,2.4
"428",1989-08-02,"Toolik Field Station",11.2,7.6,2.2
"429",1989-08-03,"Toolik Field Station",11.6,1,1.9
"430",1989-08-04,"Toolik Field Station",13.6,0,4.3
"431",1989-08-05,"Toolik Field Station",16,0,3.7
"432",1989-08-06,"Toolik Field Station",17.2,0,2.5
"433",1989-08-07,"Toolik Field Station",17.2,9.9,3.2
"434",1989-08-08,"Toolik Field Station",15.8,0,3.8
"435",1989-08-09,"Toolik Field Station",13.3,0.3,4.4
"436",1989-08-10,"Toolik Field Station",12,0,3.9
"437",1989-08-11,"Toolik Field Station",12.3,0.3,4
"438",1989-08-12,"Toolik Field Station",14.5,0,7
"439",1989-08-13,"Toolik Field Station",8.1,7.4,2.8
"440",1989-08-14,"Toolik Field Station",6.2,1.5,3.5
"441",1989-08-15,"Toolik Field Station",8.2,3.3,2.4
"442",1989-08-16,"Toolik Field Station",7,3.3,3.7
"443",1989-08-17,"Toolik Field Station",9.5,2,1.9
"444",1989-08-18,"Toolik Field Station",13.6,0,3.6
"445",1989-08-19,"Toolik Field Station",13.8,0,4.5
"446",1989-08-20,"Toolik Field Station",4.4,0,3.8
"447",1989-08-21,"Toolik Field Station",6.9,0,2.6
"448",1989-08-22,"Toolik Field Station",9.4,0,3.2
"449",1989-08-23,"Toolik Field Station",11,7.6,3.2
"450",1989-08-24,"Toolik Field Station",11.1,0,2.8
"451",1989-08-25,"Toolik Field Station",10.9,2.5,NA
"452",1989-08-26,"Toolik Field Station",12.8,0,NA
"453",1989-08-27,"Toolik Field Station",10.3,0,NA
"454",1989-08-28,"Toolik Field Station",11.6,2.5,NA
"455",1989-08-29,"Toolik Field Station",10.9,0,NA
